valor,data
65.26915,2011-02-04
,2011-02-05
,2011-02-06
65.36204,2011-02-07
65.77133,2011-02-08
64.21752,2011-02-09
64.57783,2011-02-10
65.75566,2011-02-11
,2011-02-12
,2011-02-13
66.55755,2011-02-14
66.34139,2011-02-15
67.57662,2011-02-16
67.68499,2011-02-17
68.06682,2011-02-18
,2011-02-19
,2011-02-20
67.25866,2011-02-21
66.43983,2011-02-22
66.91048,2011-02-23
66.94899,2011-02-24
66.90253,2011-02-25
,2011-02-26
,2011-02-27
67.38322,2011-02-28
66.24263,2011-03-01
67.28151,2011-03-02
68.14553,2011-03-03
68.0121,2011-03-04
,2011-03-05
,2011-03-06
,2011-03-07
,2011-03-08
67.26375,2011-03-09
66.04066,2011-03-10
66.6846,2011-03-11
,2011-03-12
,2011-03-13
67.16925,2011-03-14
67.00522,2011-03-15
66.00257,2011-03-16
66.21593,2011-03-17
66.87989,2011-03-18
,2011-03-19
,2011-03-20
66.68961,2011-03-21
67.57833,2011-03-22
67.79551,2011-03-23
67.53297,2011-03-24
67.76594,2011-03-25
,2011-03-26
,2011-03-27
67.19282,2011-03-28
67.41876,2011-03-29
67.99706,2011-03-30
68.5867,2011-03-31
69.26829,2011-04-01
,2011-04-02
,2011-04-03
69.7038,2011-04-04
69.83752,2011-04-05
69.03691,2011-04-06
69.17612,2011-04-07
68.71801,2011-04-08
,2011-04-09
,2011-04-10
68.16436,2011-04-11
66.89623,2011-04-12
66.48649,2011-04-13
66.27889,2011-04-14
66.68421,2011-04-15
,2011-04-16
,2011-04-17
65.41549,2011-04-18
66.15809,2011-04-19
67.05802,2011-04-20
,2011-04-21
,2011-04-22
,2011-04-23
,2011-04-24
66.97237,2011-04-25
67.14426,2011-04-26
66.26447,2011-04-27
65.67321,2011-04-28
66.13286,2011-04-29
,2011-04-30
,2011-05-01
65.46275,2011-05-02
64.31818,2011-05-03
63.6155,2011-05-04
63.40701,2011-05-05
64.41734,2011-05-06
,2011-05-07
