valor,data
106.45785,2023-04-13
106.27937,2023-04-14
,2023-04-15
,2023-04-16
106.01567,2023-04-17
106.16323,2023-04-18
103.91294,2023-04-19
104.36682,2023-04-20
,2023-04-21
,2023-04-22
,2023-04-23
103.94658,2023-04-24
103.22009,2023-04-25
102.3121,2023-04-26
102.92331,2023-04-27
104.43163,2023-04-28
,2023-04-29
,2023-04-30
,2023-05-01
101.92695,2023-05-02
101.79709,2023-05-03
102.17434,2023-05-04
105.14848,2023-05-05
,2023-05-06
,2023-05-07
106.04215,2023-05-08
107.11366,2023-05-09
107.44821,2023-05-10
108.2564,2023-05-11
108.46384,2023-05-12
,2023-05-13
,2023-05-14
109.02912,2023-05-15
108.19368,2023-05-16
109.45995,2023-05-17
110.10846,2023-05-18
110.74451,2023-05-19
,2023-05-20
,2023-05-21
110.21312,2023-05-22
109.92853,2023-05-23
108.79954,2023-05-24
110.05438,2023-05-25
110.90551,2023-05-26
,2023-05-27
,2023-05-28
110.3334,2023-05-29
108.96703,2023-05-30
108.33507,2023-05-31
110.56466,2023-06-01
112.55815,2023-06-02
,2023-06-03
,2023-06-04
112.69632,2023-06-05
114.6101,2023-06-06
115.48816,2023-06-07
,2023-06-08
117.01948,2023-06-09
,2023-06-10
,2023-06-11
117.33634,2023-06-12
116.74271,2023-06-13
119.06877,2023-06-14
119.221,2023-06-15
118.75842,2023-06-16
,2023-06-17
,2023-06-18
119.85776,2023-06-19
119.6224,2023-06-20
120.42026,2023-06-21
118.9342,2023-06-22
118.9771,2023-06-23
,2023-06-24
,2023-06-25
118.24295,2023-06-26
117.52287,2023-06-27
116.68132,2023-06-28
118.38265,2023-06-29
118.087,2023-06-30
,2023-07-01
,2023-07-02
119.67278,2023-07-03
119.07637,2023-07-04
119.54921,2023-07-05
117.4257,2023-07-06
118.89799,2023-07-07
,2023-07-08
,2023-07-09
117.94244,2023-07-10
117.55552,2023-07-11
117.66649,2023-07-12
119.26389,2023-07-13
117.71054,2023-07-14
,2023-07-15
,2023-07-16
118.21946,2023-07-17
117.84119,2023-07-18
117.55207,2023-07-19
118.0829,2023-07-20
120.21677,2023-07-21
,2023-07-22
,2023-07-23
121.34169,2023-07-24
122.00777,2023-07-25
122.56038,2023-07-26
119.98964,2023-07-27
120.18711,2023-07-28
,2023-07-29
,2023-07-30
121.94298,2023-07-31
121.24839,2023-08-01
120.85872,2023-08-02
120.58577,2023-08-03
119.50768,2023-08-04
,2023-08-05
,2023-08-06
119.3795,2023-08-07
119.09024,2023-08-08
118.40877,2023-08-09
118.3496,2023-08-10
118.06514,2023-08-11
,2023-08-12
,2023-08-13
116.80955,2023-08-14
116.17142,2023-08-15
115.59152,2023-08-16
114.9823,2023-08-17
115.40852,2023-08-18
,2023-08-19
,2023-08-20
114.42935,2023-08-21
116.15601,2023-08-22
118.13459,2023-08-23
117.0256,2023-08-24
115.8372,2023-08-25
,2023-08-26
,2023-08-27
117.12098,2023-08-28
118.40361,2023-08-29
117.5351,2023-08-30
115.74181,2023-08-31
117.89296,2023-09-01
,2023-09-02
,2023-09-03
117.77662,2023-09-04
117.3313,2023-09-05
115.98534,2023-09-06
,2023-09-07
115.3134,2023-09-08
,2023-09-09
,2023-09-10
116.88334,2023-09-11
117.96812,2023-09-12
118.17597,2023-09-13
119.39155,2023-09-14
118.75753,2023-09-15
,2023-09-16
,2023-09-17
118.28821,2023-09-18
117.84578,2023-09-19
118.69532,2023-09-20
116.14505,2023-09-21
116.00864,2023-09-22
,2023-09-23
,2023-09-24
115.92461,2023-09-25
114.19343,2023-09-26
114.32705,2023-09-27
115.73076,2023-09-28
116.56517,2023-09-29
,2023-09-30
,2023-10-01
115.05686,2023-10-02
113.41904,2023-10-03
113.60745,2023-10-04
113.28408,2023-10-05
114.16963,2023-10-06
,2023-10-07
,2023-10-08
115.15607,2023-10-09
116.73695,2023-10-10
117.05074,2023-10-11
,2023-10-12
115.75408,2023-10-13
,2023-10-14
,2023-10-15
116.53385,2023-10-16
115.90843,2023-10-17
114.05964,2023-10-18
114.0043,2023-10-19
113.15528,2023-10-20
,2023-10-21
,2023-10-22
112.78452,2023-10-23
113.7619,2023-10-24
112.82997,2023-10-25
114.77686,2023-10-26
113.30135,2023-10-27
,2023-10-28
,2023-10-29
112.53152,2023-10-30
113.14367,2023-10-31
115.05296,2023-11-01
,2023-11-02
118.15997,2023-11-03
,2023-11-04
,2023-11-05
118.43125,2023-11-06
119.26806,2023-11-07
119.17667,2023-11-08
119.03414,2023-11-09
120.56814,2023-11-10
,2023-11-11
,2023-11-12
120.41017,2023-11-13
123.16576,2023-11-14
,2023-11-15
124.63924,2023-11-16
124.77321,2023-11-17
,2023-11-18
,2023-11-19
125.95706,2023-11-20
125.62603,2023-11-21
126.0353,2023-11-22
126.57575,2023-11-23
125.51727,2023-11-24
,2023-11-25
,2023-11-26
125.73145,2023-11-27
